QUEST_20150317_000001	Bitte wähle den Benutzer, dies erfordert ein Quest-Update.
QUEST_20150317_000172	Just you wait. This isn't the end. {nl}Pray with your heart that Laima will save this world.
QUEST_20150317_000173	Klaipeda Officer
QUEST_20150317_000174	Welcome, welcome. {nl}Sir Uska is waiting at Klaipeda's central square. {nl}Oh, did you need anything else first?
QUEST_20150317_000175	Do you want to head to Klaipeda's gate right away?
QUEST_20150317_000176	Temporary Operator
QUEST_20150317_000177	Please change this character's status.
QUEST_20150317_000178	NPC HIDE/UNHIDE Setting!
QUEST_20150317_000179	Follower Algis
QUEST_20150317_000180	The moment that the goddess foretold to the first Paladin has finally arrived. {nl}Come. Ask me anything.
QUEST_20150317_000181	A long, long time ago, there were nomads who suffered from a cursed plague. {nl}The honorable first Paladin removed the curse with a Heilig Relic.
QUEST_20150317_000182	The Watchers are the descendants of those nomads. {nl}However, the Heilig Relic was not meant for healing those people.
QUEST_20150317_000183	One day, the goddess requested the first Paladin to safeguard a divine revelation. {nl}The cursed nomads appeared just as the paladin mulled on how to keep it secret.
QUEST_20150317_000184	They and the first Paladin made three pledges before breaking the curse.
QUEST_20150317_000185	To build the Tenet Church together. {nl}To conceal the Heilig Relic within these grounds and worship its holiness. {nl}To gather and fight together when danger comes close to this location.
QUEST_20150317_000186	All this, was to protect the revelation hidden in the sanctum of the Tenet Church.
QUEST_20150317_000187	The Heilig Relic was originally made to protect the revelation as a bait. {nl}With it, we will lure the Demon Queen here and destroy her.
QUEST_20150317_000188	Anything can happen though. {nl}If the plan fails, then the final battle will likely happen in the Tenet Church.
QUEST_20150317_000189	Pawndel
QUEST_20150317_000190	What's up?
QUEST_20150317_000191	Really?
QUEST_20150317_000192	Pawnd
QUEST_20150317_000193	What happened?
QUEST_20150317_000194	Gesti told us to protect this place.
QUEST_20150317_000195	So what do I do now?
QUEST_20150317_000196	Is this the right place?
QUEST_20150317_000197	Explaining
QUEST_20150317_000198	Shared the details of the revelation fragment found in the Crystal Mine.
QUEST_20150317_000199	I don't know how great you were in the past nor do I care. {nl}In here, you follow the Royal Army's orders, even you, Knights of Kaliss. {nl}In here, our word is law!
QUEST_20150317_000200	Graverobber Hubertas
QUEST_20150317_000201	Hanging around in these ruins is driving me insane. {nl}Why the heck did he come here anyway?
QUEST_20150317_000202	Graverobber Benjaminas
QUEST_20150317_000203	People call us grave robbers, but we prefer to call ourselves... archaeologists, {nl}scavenging and making use of all these items no one uses anymore. {nl}It sure beats leaving them to rot, right?
QUEST_20150317_000204	A Citizen's Journal
QUEST_20150317_000205	It's been a year since the civil war broke out. Prices in town have risen dramatically. {nl}Commander Ruklys has sent for aid, to restore the town's dwindling supplies. {nl}It's been a while since we've had any good news. There's talk about King Kadumel going after the general. {nl}Mood's not going to change soon.
QUEST_20150317_000206	A Sentry's Report
QUEST_20150317_000207	The guard posts have been reinforced in response to King Kadumel's forces' movements in the country. {nl}It's been confirmed that the king commands a Groß army. {nl}But if General Hayatin can muster enough volunteer soldiers, the incompetent king will likely surrender or retreat.
QUEST_20150317_000208	A Trader's Log
QUEST_20150317_000209	The city is running out of food and supplies. {nl}(The rest is illegible.)
QUEST_20150317_000210	Rumor has it that Ruklys has heard about the citizens' harsh conditions {nl}and is negotiating with Kadumel for their amnesty.
QUEST_20150317_000211	An Officer's Record
QUEST_20150317_000212	Premier Eminent is in talks with Commander Ruklys. {nl}We may have to move to the Fortress of the Land and let the royal forces claim the city. {nl}It's good news for the civilians at least. Despite the town being conceded, the Fortress will not be taken as easily.
QUEST_20150317_000213	King Kadumel is keen on persecuting the townspeople. {nl}The premier is pushing Commander Ruklys to negotiate terms ensuring that the civilians are safe from enemy forces. {nl}Despite the royal forces occupying the town, there has yet to be any threatening movement.
QUEST_20150317_000214	We should wait until Kostas gets here. {nl}We have a lot to do, so it'd be nice if he gets here soon.
QUEST_20150317_000215	Cryomancer Kostas
QUEST_20150317_000216	Everything will be resolved when the Symbol of Silk is found. {nl}With it, we can revive the city.
QUEST_20150317_000217	Graverobber Rudolfas
QUEST_20150317_000218	The Royal Army and the Knights of Kaliss... I think we've struck gold. {nl}No one's around here or calling this place home any more.
QUEST_20150317_000219	A Royal Officer's Record
QUEST_20150317_000220	There has been no progress since Ruklys' group retreated to the Fortress of the Land. {nl}The priests under Maven's direction are reluctant to fight, and the King is hiring mages by paying them a hefty sum. {nl}But we expect little to no progress at all even after their participation.
QUEST_20150317_000221	Townsperson's Document
QUEST_20150317_000222	How could this happen?! {nl}Lydia Schaffen is aiding Kadumel's forces!
QUEST_20150317_000223	Army Official's Report
QUEST_20150317_000224	Lydia Schaffen, a person I've only heard of in rumors, came to the city with her followers. {nl}The officers and soldiers expect she'll change the tide of the battle. {nl}}His Majesty ordered us to support her to the best of our ability.
QUEST_20150317_000225	Citizen's Record
QUEST_20150317_000226	The Fortress of the Land has fallen! It's all over...
QUEST_20150317_000227	Commander Ruklys has fallen in battle, and the Fortress of the Land has been taken. {nl}Some people say the commander died to Lydia Schaffen's arrow, and others say he died to the royal magicians' magic. {nl}It is indeed sad news.
QUEST_20150317_000228	To support the Knights of Kaliss, I was dispatched here from the head office. {nl}If you've any concerns, visit the headquarters in the Square of Lamentation.
QUEST_20150317_000229	The higher-ups in the Knights of Kaliss are spending a lot on this place. I'm not sure how to feel about that. {nl}To make matters worse, grave robbers are here, so we're just waiting for support.
QUEST_20150317_000230	Up until now, I've only seen the cursed figures of the fallen. Now that I'm here, that's going to change.
QUEST_20150317_000231	Will lifting this city's curse bring back the dead? {nl}I doubt it, but our lords have put great effort into retaking this area. {nl}They've done all they could for that purpose.
QUEST_20150317_000232	Graverobber Stephonas
QUEST_20150317_000233	We're different from those other grave-robbing hooligans. {nl}They've no pride or business sense! {nl}If you help us now, we'll return the favor someday soon.
QUEST_20150317_000234	Royal Army Guard Rofdel
QUEST_20150317_000235	You can see all sorts of things happening from this watchtower even if it's as if time in the city has stopped. {nl}The dust usually gets in the way, but you can see all the way to Ruklys' paths when it rains.
QUEST_20150317_000236	We've worked for centuries to revive these ruins. {nl}With your help, we might be able to learn about that day and finally succeed.
QUEST_20150317_000237	Bokor Edita
QUEST_20150317_000238	There is definitely a curse here. I'm sure of it.
QUEST_20150317_000239	Alchemist Saliamonas
QUEST_20150317_000240	This place is truly intriguing. This city is brimming with things to study and experiment on.
QUEST_20150317_000241	Graverobber Amanda
QUEST_20150317_000242	Our family's different from those other grave-robbing animals. {nl}We might bend a few rules to make a living, but still...
QUEST_20150317_000243	Are the soldiers already dead? {nl}I've never seen Petrifying Frost as strange as this before. {nl}It's like everyone in the city is trying to hide something by reliving that day.
QUEST_20150317_000244	High Speed Movement
QUEST_20150317_000245	Torn Letter
QUEST_20150317_000246	To my beloved brother in Fedimian...
QUEST_20150317_000247	Gesti has sensed it. Stay calm. It is not yet time.
QUEST_20150317_000248	Off-duty Supply Trooper
QUEST_20150317_000249	I have no idea what the royal household is doing. {nl}I even heard that the nobles have already fled the town.
QUEST_20150317_000250	In times like these, it's good to craft and use your own things rather than buying stuff. {nl}I was originally a supply trooper, but that work's not much different from a blacksmith's.
QUEST_20150317_000251	Follower Norma
QUEST_20150317_000252	I was not aware that you were the one who accepted our request, Revelator. {nl}It is truly an honor.
QUEST_20150317_000253	Gesti's demons keep attacking relentlessly. {nl}Their dark influence has reached the Panto that live here.
QUEST_20150317_000254	The Panto were once docile, but now they charge and attack on sight.
QUEST_20150317_000255	There is a tree here that the Panto worship. {nl}If this is happening, that tree has almost certainly been corrupted by a dark power.
QUEST_20150317_000256	Please protect the Romuvan barrier at the top of the valley. {nl}We will take care of the rest when our brothers arrive here.
QUEST_20150317_000257	May the goddess bless you.
QUEST_20150317_000258	I want to get some action. {nl}I haven't seen a fight in a long while.
QUEST_20150317_000259	We're still preparing. {nl}Please wait a little longer.
QUEST_20150317_000260	Antares
QUEST_20150317_000261	What? You still try and disturb my experiments? {nl}I will not allow this!
QUEST_20150317_000262	Be careful! I'm sure this is Antares' work. It'll explode if you get too close. {nl}You'd better lure the monsters and remove them one at a time.
QUEST_20150317_000263	When I release this valve, my grand experiment will be complete and you'll see a most spectacular sight!
QUEST_20150317_000264	Don't interrupt me while I stabilize the Jewels of Prominence.
QUEST_20150317_000265	You still don't get it? If it weren't for Antares, I'd be spending my life as a human. {nl}That's right. I'm a demon.
QUEST_20150317_000266	Indeed... the Jewels of Prominence were hard to make, and it would be nice to see the final product for once. {nl}It's naturally my favorite, but I don't know about you. Hahaha...
QUEST_20150317_000267	Do you know about the Demon Lord, Helgasercle? {nl}I've read that she attacked the Mage Tower several times in the past.
QUEST_20150317_000268	She'll continue to grow stronger until her envy wanes. {nl}But she was defeated every time she came, so I wonder if she succeeded this time.
QUEST_20150317_000269	Look out! Behind you!
QUEST_20150317_000270	I hope this revelation will reach you under the blessings of fire... {nl} I'll begin by trying to foresee the disasters that will occur in your time.
QUEST_20150317_000271	Since the dawn of time, the World Tree has grown beneath the earth, breathing life into being. {nl}It is the root of all things.
QUEST_20150317_000272	Giltine is setting the stage for a disaster by turning the World Tree's essence upon itself.{nl}By reversing the flow of life's energy, the World Tree retakes it and grows to a tremendous scale.
QUEST_20150317_000273	The rampaging World Tree will rip through the land, bringing disaster to all. {nl}Indeed, the Divine Tree you see in your time is in fact the World Tree.
QUEST_20150317_000274	The catastrophe will not end there. {nl}You have surely seen the Tree Root Crystals.
QUEST_20150317_000275	The demons transformed them to easily consume the spirits and aid in the Tree's growth. {nl}Because of this, many new monsters will be born, armed with even greater ferocity.
QUEST_20150317_000276	When I learned of it all, my remaining strength could not cope with the great calamity. {nl}The prophecy sent to Zachariel of the capital's demise was forgotten, due to the demons' scheming.
QUEST_20150317_000277	The World Tree will continue to grow. {nl}To what end... is beyond my control.
QUEST_20150317_000278	However, I doubt the plights I saw were the limits of all that will happen. {nl}I believe the seeds of change will come from you.
QUEST_20150317_000279	I will end my long story here. The wise Maven will hold the next revelation. {nl}I quietly await for the day you reach the Great Cathedral.
QUEST_20150317_000280	Goddess Gabija
QUEST_20150317_000281	I thank you, Savior. {nl}If I had listened to Laima, I would not be regretting this day.
QUEST_20150317_000282	Thanks to you, I have regained my strength, but it has only just begun. {nl}In return, I shall lure away the demons with a false revelation at the tower.
QUEST_20150317_000283	Before that, I have something to tell you: {nl}Laima's story.
QUEST_20150317_000284	Auctioneer
QUEST_20150317_000285	It ain't easy to get the good stuff. {nl}Merchants have been rethinking their routes thanks to the monsters around Klaipeda.
QUEST_20150317_000286	The auction has started! {nl}We went through a lot of trouble to bring you these listed items. {nl}Let's start the bidding!
QUEST_20150317_000287	These are the West Siauliai Woods. {nl}We should give a certain amount away when the villagers tend to the memorials, right?
QUEST_20150317_000288	So the Thaumaturge Master sent you. {nl}One question, first. The center of Fedimian holds a statue designed after which goddess?
QUEST_20150317_000289	Here's the quiz, so listen up! {nl}What is the name of the group that Lydia Schaffen formed to retrieve the goddess' revelation?
QUEST_20150317_000290	Did you read any books in the Crystal Mine's 1st Lot, 2nd Floor? {nl}What's the name of the prisoner who wasn't able to escape after sealing Mirtis by caving in the Crystal Mine?
QUEST_20150317_000291	Take it. I don't need it any more... Ugh... {nl}After I finish this booze, I'll go look for my brother again... Heh...
QUEST_20150317_000292	What? My brother's dead? {nl}What nonsense are you talking 'bout, huh? Get outta here! *sniff*
QUEST_20150317_000293	Sensitive Owl
QUEST_20150317_000294	The owl howls...
QUEST_20150317_000295	The owl howls... It looks very sad, crying alone.
QUEST_20150317_000296	That's right. Good job!
QUEST_20150317_000297	That was close. Try your luck again.
QUEST_20150317_000298	Excellent. It's right!
QUEST_20150317_000299	No. Try again.
QUEST_20150317_000300	Good. Very good!
QUEST_20150317_000301	You got that wrong. {nl}Why don't you try again?
QUEST_20150317_000302	The place upstairs is the divine place where the gigantic Goddess Statue, the symbol of Fedimian, is located. {nl}All believers, tidy yourself and worship quietly.
QUEST_20150317_000303	Fedimian wasn't always like this... {nl}It was once a beautiful and vibrant city. {nl}Fortunately, the divine district, where the central Goddess Statue is located, is still okay.
QUEST_20150317_000304	Fedimian was originally divided into two districts, the commerce district and the divine district. {nl}But an incident four years ago left the commerce district completely destroyed and Fedimian soon changed for the worse...
QUEST_20150317_000305	Mercifully, the divine district still stands today thanks to the blessing of the goddess.
QUEST_20150317_000306	I am just an ordinary old man in Fedimian. {nl}If you want to know more, then bring me some potato dumplings...
QUEST_20150317_000307	The food at Fedimian is awful. {nl}Before I die, is it going to be possible to try all delicious food in the world?
QUEST_20150317_000308	This is the Heilig District of Fedimian. {nl}May you receive the full blessings of the goddesses.
QUEST_20150317_000309	Right now, the Market District is closed for reconstruction. {nl}Please do not enter that district.
QUEST_20150317_000310	The Fedimian Heilig District welcomes you.
QUEST_20150317_000311	Thank you so much for your efforts. We are going to investigate here one more time. {nl}Cheer up!
QUEST_20150317_000312	Finished already? {nl}Amazing! You'd expect nothing less from a Revelator!
QUEST_20150317_000313	It is said that if one receives too much good, he begins to believe it's his right. {nl}Maybe, we relied too much on the goddess.
QUEST_20150317_000314	Soldier Pitt
QUEST_20150317_000315	Are you the Revelator? {nl}It is such an honor to meet you!
QUEST_20150317_000316	Soldier Bran
QUEST_20150317_000317	Ever since I was a kid, it's been my dream to fight at the front lines!
QUEST_20150317_000318	Training Soldier Malt
QUEST_20150317_000319	The number of monsters are not declining even after the Revelator tried so hard...
QUEST_20150317_000320	Commander Raimondas
QUEST_20150317_000321	Many people who claim to be Revelators come here. {nl}Are you one of them?
QUEST_20150317_000322	I have met many Revelators, but I have never seen one quite like you. {nl}Well done. I hope we'll meet again someday.
QUEST_20150317_000323	Herb Broker
QUEST_20150317_000324	Do you need anything?
QUEST_20150317_000325	What you see here is not everything I have for sale. Hehe...
QUEST_20150317_000326	Instructor Nicker
QUEST_20150317_000327	If one soldier breaks a rule, then it may endanger the entire military. {nl}That's why we have to be very strict.
