SKILL_20150317_000001	Angriff
SKILL_20150317_000213	[Winged Frog] Physical, Blow, Dark Property, Headbutt Knockback Attack
SKILL_20150317_000214	[Black Leaf Bug] Physical, Blow, Dark Property, Body Slam
SKILL_20150317_000215	[Black Leaf Bug] Physical, Blow, Dark Property, Bite attack
SKILL_20150317_000216	[Black Leaf Bug] Physical, Blow, Dark Property, Jump attack
SKILL_20150317_000217	[Cemetery Golem] Physical, Blow, Earth Property attack 1 time
SKILL_20150317_000218	[Drake] Physical, Hieb, Fire Property, Attack 1 time
SKILL_20150317_000219	[Drake] Magic, Magic, Fire Property, Fume Flame attack
SKILL_20150317_000220	[Big Cockatrice] Physical, Stich, Fire Property, Attack 2 times
SKILL_20150317_000221	[Big Cockatrice] Magic, Stich, Fire Property, Fly and head butt
SKILL_20150317_000222	[Big Cockatrice]
SKILL_20150317_000223	[Panto Shaman] Physical Normal Schlag
SKILL_20150317_000224	[Panto Shaman] Magic Lightning Property Schlag
SKILL_20150317_000225	[Panto Shaman] Magic Lightning Property Magic
SKILL_20150317_000226	[Panto Wizard] Physical Normal Schlag
SKILL_20150317_000227	[Panto Wizard] Magic Lightning Property Schlag
SKILL_20150317_000228	[Panto Wizard] Magic Lightning Property Magic
SKILL_20150317_000229	[Moya] Physical, Schlag, Lightning Property Attack
SKILL_20150317_000230	[Moyabu] Physical, Schlag, Lightning Property Attack
SKILL_20150317_000231	[Bavon] Physical, Schlag, Earth Property Attack
SKILL_20150317_000232	[Tanu] Physical Poison Property Hieb
SKILL_20150317_000233	[Zignuts] Physical Poison Property Schlag
SKILL_20150317_000234	[Zignuts] Physical Normal Hieb
SKILL_20150317_000235	[Moglan] Physical, Stich, Lightning Property Attack
SKILL_20150317_000236	[Moglan] Physical, Stich, Lightning Property Rotation Attack 2 times
SKILL_20150317_000237	[Denden] Physical, Schlag, Dark Property Attack
SKILL_20150317_000238	[Denden] Range, Magic, Dark Property Shoot 1 time
SKILL_20150317_000239	[Doyor] Physical, Schlag, Poison Property Attack
SKILL_20150317_000240	[Doyor] Magic Reflect Shield Magic
SKILL_20150317_000241	[Tipio] Physical Normal Schlag
SKILL_20150317_000242	[Tipio] Magic Poison Property Magic
SKILL_20150317_000243	[Rondo] Physical, Stich, Earth Property Attack
SKILL_20150317_000244	Physical, Schlag, Earth Property, Attack
SKILL_20150317_000245	[Terra Imp] Physical, Schlag, Dark Property Attack
SKILL_20150317_000246	[Venucelos] Physical, Schlag, Earth Property, Attack
SKILL_20150317_000247	[Venucelos] Physical, Schlag, Earth Property, Attack 3 times
SKILL_20150317_000248	[Grave Golem] Physical, Schlag, Non-Property, Attack
SKILL_20150317_000249	[Grave Golem] Physical, Schlag, Non-Property, Smash Attack
SKILL_20150317_000250	[Grave Golem] Physical, Schlag, Non-Property, Attack nearnach monster
SKILL_20150317_000251	[Wheelen] Physical, Stich, Lightning Property Stich Attack
SKILL_20150317_000252	[Wheelen] Physical, Stich, Lightning Property Rotation Attack 2 times
SKILL_20150317_000253	[Wheelen] Physical, Stich, Lightning Property Strong Stich Attack
SKILL_20150317_000254	[Rockter] Physical, Schlag, Non-Property, Body Slam
SKILL_20150317_000255	[Caro] Physical, Hieb, Poison Property, Attack 2 times
SKILL_20150317_000256	[Vubbe Fighter] 1 time , Physical, Schlag, Earth Property
SKILL_20150317_000257	[Red_Kepa] 1 time Physical,Schlag, Fire Property
SKILL_20150317_000258	[Tiny] Physical, Hieb, Lightning Property, Attack 2 times
SKILL_20150317_000259	[Treeambulo] Physical, Schlag, Earth Property, Attack
SKILL_20150317_000260	[Spion] Physical, Schlag, Poison Property, Attack 2 times
SKILL_20150317_000261	[Bat] Physical, Schlag, Dark Property, Schlag with wings
SKILL_20150317_000262	[Shredded] Magic, Magic, Dark Property, Dark Property
SKILL_20150317_000263	[Yekubite] Physical, Schlag, Ice Property, Head stomp
SKILL_20150317_000264	[Shardstatue] Physical, Stich, Lightning Property, Wing strike
SKILL_20150317_000265	[Cire] Physical, Schlag, Lightning Property, Attack
SKILL_20150317_000266	[Treegool] Physical, Schlag, Dark Property, Attack
SKILL_20150317_000267	[Ammon] Physical, Hieb, Earth Property Attack
SKILL_20150317_000268	[Operor] Physical, Stich, Poison Property, Bee Stich Attack
SKILL_20150317_000269	[Chafperor] Physical, Stich, Poison Property, Stich
SKILL_20150317_000270	[Ravinelerva] Range, Magic, Poison Property, Attack
SKILL_20150317_000271	[Vesper] Physical, Schlag, Dark Property, Tail whip
SKILL_20150317_000272	[Karas] Physical, Hieb, Dark Property, Attack
SKILL_20150317_000273	[Echad] Physical, Schlag, Earth Property, Attack
SKILL_20150317_000274	[Shtayim] Physical, Schlag, Earth Property, Attack
SKILL_20150317_000275	[Tombsinker] Physical, Stich, Dark Property, Attack
SKILL_20150317_000276	[Weaver] Physical, Schlag, Earth Property, Smoke attack
SKILL_20150317_000277	[Hallowventer] Magic, Magic, Dark Property, Attack
SKILL_20150317_000278	[Infro Rocktor] Physical, Schlag, Earth Property, Einhand hit
SKILL_20150317_000279	[Meleech] Physical, Hieb, Poison Property, Attack
SKILL_20150317_000280	[Infroburk] Physical, Schlag, Fire Property, Attack
SKILL_20150317_000281	[Zolem] Physical, Schlag, Earth Property, Attack
SKILL_20150317_000282	[Kepa Raider] Physical, Schlag, Dark Property, Attack
SKILL_20150317_000283	[Mushcarfung] Physical, Schlag, Dark Property, Body Attack
SKILL_20150317_000284	[Woodman] Physical, Hieb, Dark Property, Attack
SKILL_20150317_000285	[Wood_Goblin] Physical, Schlag, Lightning Property, Attack
SKILL_20150317_000286	[Stoneorca] Physical, Schlag, Ice Property, Tail Hook
SKILL_20150317_000287	[Stoneorca] Magic, Increase Block, Buff , Magic
SKILL_20150317_000288	[Drape] Physical, Stich, Poison Property Attack,
SKILL_20150317_000289	[Infro Holder] Physical, Schlag, Fire Property, Attack
SKILL_20150317_000290	[Repusbunny] Physical, Hieb, Ice Property, Attack
SKILL_20150317_000291	[Armory] Physical, Schlag, Fire Property Attack
SKILL_20150317_000292	[Hound] Physical, Stich, Dark Property Attack
SKILL_20150317_000293	[Stoulet] Physical, Schlag, Dark Property Attack
SKILL_20150317_000294	[Prisonfighter] Physical, Hieb, Dark Property Attack
SKILL_20150317_000295	[Caro] Physical, Hieb, Poison Property, Attack
SKILL_20150317_000296	[Maggot] Physical, Schlag, Dark Property, Body Slam
SKILL_20150317_000297	[Vubbe Chaser] Physical, Stich, Dark Property, Stich Attack
SKILL_20150317_000298	[Red Meduja] Magic, Magic, Fire Property, Attack
SKILL_20150317_000299	[Avatar of Helgasecle] Magic Dark Property Magic
SKILL_20150317_000300	[Filibo] Physical, Schlag, Poison Property Attack
SKILL_20150317_000301	[Ellom] Physical, Schlag, Lightning Property, Smoke Attack
SKILL_20150317_000302	[Ellom] Physical, Schlag, Lightning Property, Smash Attack
SKILL_20150317_000303	[Hogma Warrior] Physical Hieb Fire Property Attack
SKILL_20150317_000304	[Hogma Archer] Range Stich Lightning Property Attack
SKILL_20150317_000305	[Hogma Shaman] Magic, Magic, Fire Property Attack
SKILL_20150317_000306	[Merog Shaman] Magic, Magic, Ice Property, Range Force Attack
SKILL_20150317_000307	[Merog Needler] Range, Stich, Poison Property, Shoot Poison Needle
SKILL_20150317_000308	[Hogma Shaman] Magic, Magic, Fire Property, Firewall Attack,
SKILL_20150317_000309	[Merog Shaman] Magic, Schlag, Ice Property, Forward cane thrust
SKILL_20150317_000310	[Hogma Warrior] Physical, Schlag Fire Property, Shield Knockback Attack
SKILL_20150317_000311	[Hogma Warrior] Buff, Magic, Fire Property, Block increase
SKILL_20150317_000312	[Merog Needler] Range, Stich, Poison Property, Jump and Shoot Poison Needle
SKILL_20150317_000313	[Hogma Battle Commander] Physical Hieb Dark Property, Attack
SKILL_20150317_000314	[Hogma Battle Commander] Physical Stich Dark Property Attack
SKILL_20150317_000315	[Hogma Battle Commander] Monster Summon
SKILL_20150317_000316	[Lizardman] Physical, Schlag, Lightning Property, Attack
SKILL_20150317_000317	[Chupaluka] Physical, Schlag, Dark Property Attack
SKILL_20150317_000318	[Ellomago] Physical, Stich, Lightning Property, Attack
SKILL_20150317_000319	[Ellogua] Physical, Stich, Lightning Property Attack
SKILL_20150317_000320	[Ellogua] Range, Magic, Lightning Property Shoot
SKILL_20150317_000321	[Wendigo] Physical Hieb Fire Property Attack
SKILL_20150317_000322	[Lizardman] Physical, Schlag, Lightning Property, March in and Headbutt Attack
SKILL_20150317_000323	[Kepari] Magic, Magic, Fire Property Attack Fire Debuff
SKILL_20150317_000324	[Kodomor] Physical, Schlag, Poison Property Attack
SKILL_20150317_000325	[Kowak] Physical, Schlag, Earth Property Attack
SKILL_20150317_000326	[Groll] Physical, Stich, Poison Property, Smoke attack
SKILL_20150317_000327	[Groll] Physical, Stich, Poison Property, Stich with horn Attack
SKILL_20150317_000328	[Chupacabra] Physical, Schlag, Dark Property, Attack
SKILL_20150317_000329	[Tama] Physical, Schlag, Earth Property Attack
SKILL_20150317_000330	[Medakia] Magic, Hieb, Dark Property Attack
SKILL_20150317_000331	[Lemur] Physical, Hieb, Ice Property Attack,
SKILL_20150317_000332	[Hogma Fighter] Physical Hieb Lightning Property Attack
SKILL_20150317_000333	[Hogma Guard] Physical Schlag Ice Property Attack
SKILL_20150317_000334	Physical, Schlag, Earth Property Einhand Attack
SKILL_20150317_000335	Magic, Magic, Heal Floor
SKILL_20150317_000336	Physical, Schlag, Earth Property Body Attack 3 times
SKILL_20150317_000337	[Old Hook] Physical, Hieb, Earth Property, Attack
SKILL_20150317_000338	[Old Hook] Physical, Hieb, Earth Property, Smash Attack
SKILL_20150317_000339	[Old Hook] Physical, Hieb, Earth Property, Rotation Attack
SKILL_20150317_000340	[Varv] Physical, Schlag, Poison Property, Attack
SKILL_20150317_000341	[Phyracon] Magic, Magic, Fire Property, Fire Shooting Attack 3 times
SKILL_20150317_000342	[Phyracon] Physical, Schlag, Fire Property, Attack
SKILL_20150317_000343	[Phyracon] Magic, Magic, Fire Property, Flame Fume Attack 2 times
SKILL_20150317_000344	[Red Old Hook] Physical, Hieb, Fire Property, Rotation Attack
SKILL_20150317_000345	[Red Old Hook] Physical, Hieb, Fire Property, Smash Attack
SKILL_20150317_000346	[Arma] Physical, Stich, Fire Property, Attack
SKILL_20150317_000347	[Arma] Physical, Stich, Fire Property, Dash and Attack 2 times
SKILL_20150317_000348	[Flask] Physical, Schlag, Fire Property, Attack
SKILL_20150317_000349	[Black Shaman Puppe] Physical, Stich, Dark Property, Attack
SKILL_20150317_000350	[Dimmer] Physical, Schlag, Fire Property, Attack
SKILL_20150317_000351	[Dimmer] Physical, Schlag, Fire Property, Attack 2 times
SKILL_20150317_000352	[Wizard Shaman Puppe] Physical, Schlag, Dark Property, Attack
SKILL_20150317_000353	[Wizard Shaman Puppe] Physical, Schlag, Dark Property, Rotate and Attack 3 times
SKILL_20150317_000354	[Sequoia Flame] Magic, Magic, Fire Property, Attack
SKILL_20150317_000355	[Raflower] Physical, Stich, Poison Property, Tentacle Attack
SKILL_20150317_000356	[Raflower] Physical, Stich, Poison Property, Tentacle Attack
SKILL_20150317_000357	[Vubbe Wizard] Magic, Magic, Fire Property, Energy Bolt
SKILL_20150317_000358	[Vubbe Wizard] Magic, Magic, Fire Property, Reflect Shield Buff
SKILL_20150317_000359	[Vubbe Fire Wizard] Magic, Magic, Fire Property, Range Fireball Attack
SKILL_20150317_000360	[Vubbe Fire Wizard] Magic, Magic, Fire Property, Fire Pillar Attack
SKILL_20150317_000361	[Vubbe Ice Wizard] Magic, Magic, Ice Property, Range Ice Bolt Attack
SKILL_20150317_000362	[Vubbe Ice Wizard] Magic, Magic, Ice Property, Refreezer Wave Attack
SKILL_20150317_000363	[Vubbe Shaman] Magic, Magic, Dark Property, Heal Floor Skill
SKILL_20150317_000364	[Vubbe Shaman] Magic, Magic, Dark Property, Floor Skill
SKILL_20150317_000365	[Shredded] Magic, Magic, Dark Property, Teleport to pc and Attack
SKILL_20150317_000366	[Leafnut] Physical, Schlag, Poison Property Attack
SKILL_20150317_000367	[Panto] Physical, Schlag, Earth Property, Attack 2 times
SKILL_20150317_000368	[Panto] Physical, Schlag, Earth Property, Continuous Attack 6 times 
SKILL_20150317_000369	[Panto] Magic, Movement Buff, Magic,
SKILL_20150317_000370	[Panto Warrior] Physical, Hieb, Earth Property, Attack
SKILL_20150317_000371	[Ultanun] Physical Stich Poison Property Attack
SKILL_20150317_000372	[Ultanun] Magic Poison Property Magic
SKILL_20150317_000373	[Rubabos] Physical, Schlag, Ice Property Attack
SKILL_20150317_000374	[Rubabos] Magic, Magic, Ice Property Attack
SKILL_20150317_000375	[Elite Slime] Physical, Schlag, Earth Property, Attack
SKILL_20150317_000376	[Bushspider] Physical, Schlag, Non-Property, Attack
SKILL_20150317_000377	[Pokubu] Physical, Schlag, Earth Property, Head smash
SKILL_20150317_000378	[Mali] 1 hit Physical, Schlag, Poison Property,
SKILL_20150317_000379	[Mallardu] Physical, Schlag, Earth Property Attack
SKILL_20150317_000380	[Mallardu] Physical, Schlag, Earth Property Heal wind
SKILL_20150317_000381	[Grummer] Physical, Schlag, Poison Property, Attack
SKILL_20150317_000382	[Hummingbird] Physical, Stich, Poison Property Attack
SKILL_20150317_000383	[Leafly] Physical, Hieb, Lightning Property, Attack
SKILL_20150317_000384	[Desert Chupacabra] Buff, Magic, Hide HP restoration
SKILL_20150317_000385	[Desert Chupacabra] Physical, Schlag, Earth Property Attack
SKILL_20150317_000386	[Chromadog] Physical, Schlag, Fire Property Attack
SKILL_20150317_000387	[Seedmia] Physical, Schlag, Poison Property, Attack
SKILL_20150317_000388	[Seedmia] Physical, Schlag, Poison Property, 1 Range Attack
SKILL_20150317_000389	[Glock] Physical, Hieb, Dark Property Attack
SKILL_20150317_000390	[Glock] Magic, Magic, Dark Property Attack
